feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
11569;icecat_11569;0;dropdown;"Handle location";;
21354;icecat_21354;0;text;"Energy value (per serving)";;kJ
26407;icecat_26407;0;y_n;"Programmable profiles";;
14641;icecat_14641;0;;"OMA (OpenMG Audio file)";;
21196;icecat_21196;0;y_n;"Removable buckle";;
1781;icecat_1781;0;text;"Projection panel";;
27532;icecat_27532;0;dropdown;"Wheel lip profile";;
22715;icecat_22715;0;numerical;"Sabre saw no-load speed (max)";;RPM
17701;icecat_17701;0;;"Cutting drum material";;
5894;icecat_5894;0;text;"Print margin cut-sheet";;mm
29804;icecat_29804;0;text;"Torque type";;
13991;icecat_13991;0;;"VCD playback";;
18194;icecat_18194;0;numerical;"Video input channels";;channels
10014;icecat_10014;0;dropdown;"PC connection";;
30332;icecat_30332;0;numerical;"Sealant 2 elongation at break";;%
26493;icecat_26493;0;numerical;"Balance point";;mm
17279;icecat_17279;0;numerical;"Video RCA outputs";;
24888;icecat_24888;0;y_n;"Adjustable edge guide";;
729;icecat_729;0;text;"Video adapter resolution";;
1386;icecat_1386;0;numerical;"Monitor typical power consumption";;W
16248;icecat_16248;0;y_n;"aptX audio decoding";;
6485;icecat_6485;0;text;"Height (min) (imperial)";;""""
18272;icecat_18272;0;;"Design by";;
29737;icecat_29737;0;;"STA 2.0";;
18243;icecat_18243;0;;"Tweezers with protection lid";;
18649;icecat_18649;0;y_n;"Intel RealSense Snapshot";;
16557;icecat_16557;0;;"Extra wide door opening";;
14730;icecat_14730;0;;"Recording density";;ftpmm
12636;icecat_12636;0;;Usage;;
8692;icecat_8692;0;y_n;"SIRIUS Satellite Radio Ready";;
27304;icecat_27304;0;numerical;"Laser wave power (green)";;mW
20140;icecat_20140;0;;"Fracture pressure";;bar
5682;icecat_5682;0;text;"Case L2";;mm
30695;icecat_30695;0;y_n;"Region of Interest (ROI) encoding";;
19970;icecat_19970;0;;Length-out;;mm
13550;icecat_13550;0;multi_dropdown;"Model file formats supported";;
13854;icecat_13854;0;;"Sony Entertainment Network (SEN)";;
7461;icecat_7461;0;numerical;"Record out";;
25343;icecat_25343;0;numerical;"Bedroom vanity depth";;mm
20594;icecat_20594;0;numerical;"Blender height";;mm
