feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
22233;icecat_22233;0;numerical;"Maximum nut size";;mm
27880;icecat_27880;0;numerical;"Relative density";;
2043;icecat_2043;0;numerical;"Print head swath";;""""
17583;icecat_17583;0;y_n;"Adjustable drill table";;
30733;icecat_30733;0;numerical;"Ballhead maximum weight capacity";;kg
12283;icecat_12283;0;;"Storage pouch, box in pack";;
27241;icecat_27241;0;range;Passband;;MHz
4738;icecat_4738;0;y_n;"SteamGlide soleplate";;
8710;icecat_8710;0;dropdown;"Speakers connectivity type";"The type of connection used for the speakers e.g. RCA connector.";
29615;icecat_29615;0;y_n;"Rock mold included";;
17003;icecat_17003;0;dropdown;"Hose connecting thread";;
14554;icecat_14554;0;;"Data transfer rate UMTS (HSPA) (upload)";;Mbit/s
4735;icecat_4735;0;y_n;"Steam boost for the most stubborn creases";;
3479;icecat_3479;0;numerical;"Linear velocity";"The speed at which data can be recorded on hardware e.g. the write speed of a DVD.";m/s
22688;icecat_22688;0;numerical;"Operating time (flashing light)";;h
17242;icecat_17242;0;;"LED effect";;
11110;icecat_11110;0;y_n;Camper/Caravan;"A camper (or camper van) is a large motor vehicle with living accommodation. A caravan is a vehicle equipped for living in, typically towed by a car and used for holidays.";
12471;icecat_12471;0;;"Sport spout";;pc(s)
7707;icecat_7707;0;dropdown;"DIN size";;
16573;icecat_16573;0;;"Games Hub";;
11426;icecat_11426;0;y_n;"Intel Server Customization Technology";;
18115;icecat_18115;0;y_n;"Ferrite bead";;
22266;icecat_22266;0;y_n;"SSID Broadcast";;
12273;icecat_12273;0;;"Slide and Flash";;
13635;icecat_13635;0;;"Operating Instruction Language 1";;
8189;icecat_8189;0;numerical;"Calorie counter";;kcal
1458;icecat_1458;0;text;"ATM features";;
8739;icecat_8739;0;numerical;"Bridge-mode power output per channel (4 Ohm)";;W
22585;icecat_22585;0;alphanumeric;"Eyelash mascara colour code";;
24174;icecat_24174;0;numerical;"Tread depth measuring accuracy";;mm
18991;icecat_18991;0;;"Continuous shooting";;
10603;icecat_10603;0;text;"Frame type";;
24263;icecat_24263;0;;"LPCM (2Ch/5.1Ch/7.1Ch)";;
28213;icecat_28213;0;dropdown;"Panel material";;
28344;icecat_28344;0;numerical;"Vertical clearance";;mm
12195;icecat_12195;0;y_n;"Headphone out";"The socket for connecting headphones to the device.";
27643;icecat_27643;0;dropdown;"Storage drive adapter type";;
21021;icecat_21021;0;numerical;"Sugar stick capacity";;g
5971;icecat_5971;0;text;"Print time (colour image ISO N5, normal quality, D coated paper)";;min/page
25755;icecat_25755;0;;"Frother capacity";;ml
7968;icecat_7968;0;y_n;"12V trigger";;
6804;icecat_6804;0;text;Movable;;
9983;icecat_9983;0;multi_dropdown;"Minimum processor family";;
14334;icecat_14334;0;;"Focusing screen";;
21875;icecat_21875;0;numerical;"Container height (max)";;mm
25344;icecat_25344;0;numerical;"Bedroom vanity height";;mm
91;icecat_91;0;numerical;"Viewable size, horizontal";"The viewable size is often somewhat smaller than the actual size of a monitor, because there is a border around the image.";mm
2556;icecat_2556;0;numerical;"AC outlets quantity";"The number of sockets in the device where AC electrical power can be connected.";"AC outlet(s)"
13765;icecat_13765;0;;"Flash guide number (ISO 100)";;m
1866;icecat_1866;0;multi_dropdown;"Screw diameter";"The distance from one side of the screw head to the other, passing through the centre of the screw in a straight line.";
5485;icecat_5485;0;numerical;"Tare weight (imperial)";"The weight of the container or packaging materials. The gross weight minus the net weight equals the tare weight. For roll stock the tare weight would be the roll wrapper and the core.";lbs
21717;icecat_21717;0;;"Processor core voltage";;
9192;icecat_9192;0;text;"Shape of diaphragm blades";;
29306;icecat_29306;0;numerical;"Main fabric wool percentage";;%
24403;icecat_24403;0;;"Surround speaker model name";;
11696;icecat_11696;0;y_n;"Noise detection";;
27264;icecat_27264;0;y_n;"Helmet compatible";;
28203;icecat_28203;0;3d;"Outside parts package dimensions (WxDxH)";;mm
7334;icecat_7334;0;dropdown;"Command rate";;
11544;icecat_11544;0;y_n;"Flexible arm";;
23367;icecat_23367;0;numerical;"Specific gravity";;
31024;icecat_31024;0;numerical;"AC voltage resolution (min)";;V
19925;icecat_19925;0;y_n;"Adjustable pressure";;
7579;icecat_7579;0;dropdown;"RPM sensing";;
27569;icecat_27569;0;y_n;"Playground walkway";;
17321;icecat_17321;0;;"Print head life (slip unit)";;
5149;icecat_5149;0;text;"Image recording functions";;
7221;icecat_7221;0;text;"Off hook loop current";;mA
25272;icecat_25272;0;textarea;"Siren certification";;
10985;icecat_10985;0;;"IP control";;
19411;icecat_19411;0;;Spring;;
521;icecat_521;0;text;"Image stability";;
26346;icecat_26346;0;numerical;"Operating time";;s
17153;icecat_17153;0;;"Speaker box package height";;mm
852;icecat_852;0;y_n;Shelves;;
31501;icecat_31501;0;numerical;"Front mat width";;mm
22822;icecat_22822;0;y_n;"Built-in eraser";;
27207;icecat_27207;0;dropdown;"Sound production type";;
7140;icecat_7140;0;multi_dropdown;"Supported hard disk drive sizes";"The size of the hard disk drives which can be used by the device.";""""
24132;icecat_24132;0;;"Voice activation screen";;
14808;icecat_14808;0;;"Bottom otter. dimensions (Net, mm)";;
2938;icecat_2938;0;numerical;"Blade size";"The size of blade, which is a sharp cutting edge, usually made of metal.";mm
18973;icecat_18973;0;;"Comfortable enclosing design";;
8312;icecat_8312;0;dropdown;"Screwdriver type";;
16150;icecat_16150;0;y_n;"External pedometer connection";;
10351;icecat_10351;0;multi_dropdown;"PCI Express configurations";;
31409;icecat_31409;0;y_n;"Suitable for furniture";;
11362;icecat_11362;0;numerical;"Compartment height";;mm
11055;icecat_11055;0;numerical;"Minimum baby weight";"The minimum baby weight that can be supported by this product.";kg
19328;icecat_19328;0;numerical;"Sound pressure level";;dB
31047;icecat_31047;0;numerical;"Scan speed (b/w, high res, A4)";;sec/page
17247;icecat_17247;0;;"Center speaker quantity";;
30743;icecat_30743;0;numerical;"Input impedance";;MΩ
6084;icecat_6084;0;text;"Rear ports";;
24739;icecat_24739;0;y_n;"Sodium Laureth Sulfate (SLES) free";;
554;icecat_554;0;text;"Disk finalization time (2x)";"Expected maximum disc finalization time (closing a write session).";
8062;icecat_8062;0;dropdown;"Image stabilizer type";;
4544;icecat_4544;0;dropdown;Starter;;
17739;icecat_17739;0;y_n;Water-resistant;;
30033;icecat_30033;0;3d;"Plateau package dimensions (WxDxH)";;mm
12401;icecat_12401;0;;"Removable strap pocket";;pc(s)
14920;icecat_14920;0;;"AUX in (Front)";;
9230;icecat_9230;0;numerical;"Minimum cutting height";;mm
17000;icecat_17000;0;numerical;"Height under embedding surface";;mm
17422;icecat_17422;0;;"Connector 1 external diameter";;
7767;icecat_7767;0;numerical;"Baby unit weight";;g
21397;icecat_21397;0;numerical;"Maximum number of ladders";;
22496;icecat_22496;0;y_n;Repellent;;
9296;icecat_9296;0;numerical;"Frequency stability";;%
13332;icecat_13332;0;;"Inner carton dimensions (WxDxH)";;cm
30095;icecat_30095;0;y_n;Multi-screen;;
25238;icecat_25238;0;dropdown;"Door/window sensor battery type";;
22636;icecat_22636;0;range;"Cap off time";;day(s)
12667;icecat_12667;0;;"Scan-to-key via USB-stick";;
15817;icecat_15817;0;text;"Pressure sensor precision";;Pa
3482;icecat_3482;0;numerical;"Optimum write power";;mW
1469;icecat_1469;0;text;"Physical/logical drives";;
11494;icecat_11494;0;text;"Design theme";;
27212;icecat_27212;0;numerical;"Extrusion temperature";;°C
23249;icecat_23249;0;text;"Chisel(s) cutting edge";;mm
1383;icecat_1383;0;range;"Storage relative humidity (H-H)";;%
6551;icecat_6551;0;text;"Number of pockets";;pockets
12760;icecat_12760;0;text;Coating;;
11896;icecat_11896;0;;"Tweeter material";;
9703;icecat_9703;0;numerical;Podcasts;;
11988;icecat_11988;0;y_n;"Charging connector";;
3989;icecat_3989;0;text;"Second display";"The device has an additional (second) screen.";
18538;icecat_18538;0;;"Duplex scanning modes";;
10152;icecat_10152;0;numerical;"Active ingredient part";;%
21002;icecat_21002;0;y_n;"Grass tank level indicator";;
23115;icecat_23115;0;numerical;"Maximum write (4KB)";;IOPS
22193;icecat_22193;0;y_n;"Science brochure included";;
15889;icecat_15889;0;numerical;"AM preset stations";;
27232;icecat_27232;0;numerical;"Maximum cutting width";;mm
20515;icecat_20515;0;;"Screen size (max)";;""""
26398;icecat_26398;0;range;"Power Good signal delay range";;ms
21498;icecat_21498;0;numerical;"Maximum door height";;mm
18170;icecat_18170;0;numerical;"Upstream keyers";;
13005;icecat_13005;0;;"Laser type";;
19179;icecat_19179;0;;"4x Ion technology";;
27085;icecat_27085;0;numerical;"Number of hair bows";;
17077;icecat_17077;0;dropdown;"Car seat group";;
27006;icecat_27006;0;y_n;"Upper back treatment";;
19070;icecat_19070;0;text;"Resistance level";;
5145;icecat_5145;0;y_n;"Silicon rubber lid sealing ring";;
31357;icecat_31357;0;numerical;"Food container 2 capacity";;L
14518;icecat_14518;0;;"Still image S size (16:9 mode)";;
19916;icecat_19916;0;;"Game port";;
23332;icecat_23332;0;numerical;"Feeds up to";;month(s)
18937;icecat_18937;0;;"Skin color sensor";;
5005;icecat_5005;0;text;"Radio RF power";;
4847;icecat_4847;0;text;"White Chromaticity, 6500K";;
16378;icecat_16378;0;numerical;"Hob height";"The size of the hob from the top to the bottom. The hob is a cooking appliance or the flat top part of a cooker, with hotplates or burners, mainly used for heating pans.";mm
3897;icecat_3897;0;text;"Dual brush head";;
26059;icecat_26059;0;y_n;"Delicate/silk washing program";;
23707;icecat_23707;0;numerical;"Initial water level (min)";;mm
7476;icecat_7476;0;numerical;"Viewfinder angle";;°
27678;icecat_27678;0;dropdown;"Ratchet handle drive size";;""""
9630;icecat_9630;0;numerical;"Number of batteries (keyboard)";;
27903;icecat_27903;0;;"Remote Secure Erase (RSE) technology version";;
15255;icecat_15255;0;;"Floor polisher";;
31188;icecat_31188;0;y_n;"Includes tripeptides";;
6845;icecat_6845;0;y_n;"Bliss-Philips beauty bag";;
30188;icecat_30188;0;numerical;"Equivalent input noise";;dBV
6549;icecat_6549;0;text;"Microwave steam sterilizer";;pc(s)
15237;icecat_15237;0;;"Self diagnostic system";;
1679;icecat_1679;0;numerical;"Number of cartons per pallet";;
18729;icecat_18729;0;numerical;"LLMF EM 2000h rated";;%
2432;icecat_2432;0;text;"Applications supported";;
22433;icecat_22433;0;y_n;"Manual mode";;
23780;icecat_23780;0;multi_dropdown;"Natural gas calorific type";;
2263;icecat_2263;0;text;"Printing material lightfastness (home/office/indoor) UV ink";"Period of time over which colors will resist change in an indoor commercial window by an acceptable amount";
5668;icecat_5668;0;numerical;"Track eccentricity";;µm
2605;icecat_2605;0;numerical;"Heating energy efficiency (COP, W/W)";;
13041;icecat_13041;0;;"USB/MP3-player playback modes";;
1885;icecat_1885;0;text;"Service included";;
19700;icecat_19700;0;numerical;"Shelf life";;month(s)
15909;icecat_15909;0;dropdown;"Drum pads material";;
19626;icecat_19626;0;;"Maximum windspeed (85 cm dishes)";;km/h
14533;icecat_14533;0;;"Auto time set";;
23246;icecat_23246;0;numerical;"Vacuum performance";;%
19812;icecat_19812;0;;"Built-in lithium battery capacity";;mAh
14012;icecat_14012;0;;"Rated output power";;W
28654;icecat_28654;0;y_n;Cuvette;;
19165;icecat_19165;0;;"DayWhite or NiteWhite";;
3529;icecat_3529;0;dropdown;"Number of pipelines";;
9003;icecat_9003;0;y_n;"Bit included";;
13523;icecat_13523;0;y_n;Illuminable;;
14773;icecat_14773;0;;"Average water consumption (no pre-wash)";;L
20618;icecat_20618;0;multi_dropdown;"Nail top coat effect";;
26660;icecat_26660;0;numerical;"Niacin (vitamin B3) Daily Value (DV) content (per 100 g)";;%
28329;icecat_28329;0;numerical;"Cord length (max)";;m
21319;icecat_21319;0;y_n;"Top cover";;
11693;icecat_11693;0;dropdown;"Included bulb(s) 2 type";;
12639;icecat_12639;0;y_n;"Thermal transfer film included";;
16606;icecat_16606;0;;"Microwave distribution";;
27423;icecat_27423;0;y_n;Handguard;;
14214;icecat_14214;0;;"Windows Media Player (CD)";;
12550;icecat_12550;0;;"Ceramic textured discs";;
3007;icecat_3007;0;numerical;Squareness;;%
29443;icecat_29443;0;y_n;"This toy does not provide protection";"Imitations of protective masks and helmets shall bear the following warning: ""This toy does not provide protection"".";
1266;icecat_1266;0;numerical;"Cable length";"How long the cable is.";m
10199;icecat_10199;0;y_n;"Thermal Monitoring Technologies";;
20261;icecat_20261;0;;"Tablets charging (2.1 A)";;
3776;icecat_3776;0;y_n;Movies;;
15422;icecat_15422;0;;"Energy efficiency class (traditional)";;
27972;icecat_27972;0;y_n;"Play food included";;
29418;icecat_29418;0;;"Moving image size (640x480, 30fps, 3Mbps) (VGA)";;
25575;icecat_25575;0;dropdown;"Tip shape";;
8928;icecat_8928;0;numerical;"Recommended number of lines";;
8813;icecat_8813;0;numerical;"Number of pen tips";;
13953;icecat_13953;0;;"DVB-T2 tuner";;
27859;icecat_27859;0;dropdown;"Pet harness size supported";;
14072;icecat_14072;0;;"Flight plug adaptor (single/dual)";;
22552;icecat_22552;0;numerical;"Output power capacity";;kVA
12297;icecat_12297;0;3d;"Speaker dimensions (W x D x H)";;mm
20038;icecat_20038;0;;"Phone output";;
29112;icecat_29112;0;y_n;"Pocket clip";;
22461;icecat_22461;0;numerical;"Cable weight";;kg/km
3288;icecat_3288;0;numerical;"Euro pallet weight";;kg
21363;icecat_21363;0;numerical;"Energy Daily Value (DV) content (per serving)";;%
1722;icecat_1722;0;textarea;Pixels;"Number of pixels (HxW)";pixels
17119;icecat_17119;0;;"DVI-D (with HDCP) output ports";;
31069;icecat_31069;0;range;"Resistance test range";;Ω
26010;icecat_26010;0;;"Transverse axis";;
11324;icecat_11324;0;numerical;"Container diameter (min)";;mm
11722;icecat_11722;0;;"Main unit width";;mm
29696;icecat_29696;0;y_n;"Ergonomic triggers";;
13342;icecat_13342;0;;"Hotel phone";;
30032;icecat_30032;0;3d;"Front, back, side & roof package dimensions (WxDxH)";;mm
20905;icecat_20905;0;numerical;"Maximum number of PCI Express lanes";;
28613;icecat_28613;0;y_n;"Stand platform";;
12008;icecat_12008;0;;"Dual Record";;
28434;icecat_28434;0;numerical;"Fountain height (max)";;m
13885;icecat_13885;0;;"Cue and Review";;
10591;icecat_10591;0;y_n;"Integrated EasyPort Mount";"The semi-fixed EasyPort™ mount lets you attach your device to your windshield or your dashboard and folds neatly onto the back of your device, making the whole navigation package fit into your pocket.";
16741;icecat_16741;0;y_n;"PC compartment";"Place for storing a PC.";
17868;icecat_17868;0;text;"Plug material";;
27134;icecat_27134;0;y_n;"Suitable for paper";;
8698;icecat_8698;0;y_n;"Proximity sensor";;
10572;icecat_10572;0;numerical;"Sensor outputs";;
6144;icecat_6144;0;text;"Maximum switch bandwidth";;
18466;icecat_18466;0;;"Application areas (face)";;
23899;icecat_23899;0;numerical;"Day cream volume";;ml
13960;icecat_13960;0;;"Start/Stop Rec button on LCD";;
21913;icecat_21913;0;y_n;"Stop & Go mechanism";;
18070;icecat_18070;0;y_n;Oil-based;;
29005;icecat_29005;0;y_n;"Thickening agent free";;
6956;icecat_6956;0;text;"Smart insert (WxHxD) (imperial)";;""""
26295;icecat_26295;0;y_n;"Not aim at eyes & face";;
15843;icecat_15843;0;;"2x Mic-in";;
22735;icecat_22735;0;numerical;"Postcards quantity";;
16576;icecat_16576;0;;"Wireless speaker module included";;
4197;icecat_4197;0;text;"VCR scart in";;
15756;icecat_15756;0;numerical;"Assembled width";;mm
25380;icecat_25380;0;;"Riser card ID";;
17309;icecat_17309;0;;"Scan speed cut sheet";;mm/sec
14285;icecat_14285;0;;"Electronic sound modes";;
26186;icecat_26186;0;numerical;"Number of vacuum bags";;
14501;icecat_14501;0;dropdown;"Tray material";;
26758;icecat_26758;0;numerical;"Pump load current";;A
26713;icecat_26713;0;numerical;"Beta-glucan content (per serving)";;g
2874;icecat_2874;0;text;"Shooting capacity";;
24321;icecat_24321;0;;Validity;;
22997;icecat_22997;0;numerical;"Seating furniture weight";;g
20424;icecat_20424;0;y_n;"Moisture resistant";;
14026;icecat_14026;0;;"Memory Stick (MS) interface";;
18810;icecat_18810;0;dropdown;"Rotating centre type";;
27760;icecat_27760;0;;"Optimized speed";;
11067;icecat_11067;0;y_n;"Coins counter";;
3951;icecat_3951;0;y_n;"Headphones included";"Whether the product includes headphones.";
6882;icecat_6882;0;text;"HDMI 4";;
14721;icecat_14721;0;y_n;"Cutting board";"A rectangular or circular flat block of wood or plastic for cutting food on.";
5617;icecat_5617;0;text;"File size";;
3509;icecat_3509;0;text;"SSL version support";;
13665;icecat_13665;0;;"Surround speaker sensitivity";;dB
15363;icecat_15363;0;dropdown;"Plate material";;
24653;icecat_24653;0;dropdown;"Output grayscale depth";;bit
17075;icecat_17075;0;y_n;"Draining board";;
1496;icecat_1496;0;text;Connector(s);;
20843;icecat_20843;0;dropdown;"Tone type";;
1254;icecat_1254;0;text;"Modem manufacturer";;
1533;icecat_1533;0;multi_dropdown;"Analog signal format system";"The supported protocols for exchanging analog signals.";
31488;icecat_31488;0;dropdown;"User interface (UI)";;
14575;icecat_14575;0;numerical;"Color gamut";;%
656;icecat_656;0;text;"Send to PC";;
4828;icecat_4828;0;text;"2x 50mm woofer";;
10624;icecat_10624;0;y_n;Oscillation;;
25300;icecat_25300;0;y_n;"Wi-Fi (central control unit)";;
25827;icecat_25827;0;;"Carafe type";;
11927;icecat_11927;0;;"Alarm source";;
22507;icecat_22507;0;y_n;"Easy to adjust";;
20890;icecat_20890;0;range;"Angle setting range";;°
5443;icecat_5443;0;text;"Ambilight light system";;
4794;icecat_4794;0;numerical;Volume;"The amount of a substance contained";L
2497;icecat_2497;0;y_n;"Built-in freezer";;
10227;icecat_10227;0;numerical;"Ottoman height";;mm
20133;icecat_20133;0;;"Wireless sensor";;
6358;icecat_6358;0;text;"Stainless steel, concealed element";;
9200;icecat_9200;0;y_n;"Image viewer";;
19084;icecat_19084;0;;"Wide beam";;
18348;icecat_18348;0;numerical;"Tilling width (min)";;mm
15761;icecat_15761;0;numerical;"Window opening height (min)";;mm
21325;icecat_21325;0;y_n;"Reversible cutting board lid";;
18570;icecat_18570;0;;"Flatbed print speed (Production-Squared mode)";;m²/h
26052;icecat_26052;0;y_n;"Baby care washing program";;
22083;icecat_22083;0;range;"Battery charging voltage range";;V
1438;icecat_1438;0;text;"Network integrated ports";;
1516;icecat_1516;0;numerical;"Response time";"The response time is the time difference between the moment that a source (for example a video card) sends a signal and that equipment (for example a monitor) receives or display the signal. (Used abbreviations: R/F = Rise and Fall.)";ms
17500;icecat_17500;0;;"Dual voice coil";;
17709;icecat_17709;0;;"Bias noise level";;dB
13282;icecat_13282;0;;"Corded use only";;
1235;icecat_1235;0;text;Hibernation;;
29477;icecat_29477;0;y_n;"Scratch-resistant interior";;
9761;icecat_9761;0;y_n;"Nozzle included";;
8443;icecat_8443;0;text;"Output power";;mW
4053;icecat_4053;0;multi_dropdown;"Cassette playback modes";;
5165;icecat_5165;0;text;"ReWrite speed, media";;
19295;icecat_19295;0;numerical;"Number of motion sensors";;pc(s)
17194;icecat_17194;0;;"Send to smartphone";;
5768;icecat_5768;0;numerical;"Time to first copy (colour, normal)";;s
26708;icecat_26708;0;y_n;"Bar sheath";;
18043;icecat_18043;0;;"Thermobrush (22mm)";;
4069;icecat_4069;0;y_n;"PC Link sound enhancement";;
14508;icecat_14508;0;;"4K upscaler";;
14192;icecat_14192;0;;"Spot Auto Focus (AF)";;
23243;icecat_23243;0;numerical;"Main blade length";;mm
4066;icecat_4066;0;dropdown;"Number of decks";;deck(s)
22468;icecat_22468;0;numerical;"Number of tubes per pack";;pc(s)
26336;icecat_26336;0;dropdown;"Spray gun type";;
28258;icecat_28258;0;numerical;"Tip 2 width";;mm
6938;icecat_6938;0;y_n;"Easy positionable lamphouse (up/down)";;
13229;icecat_13229;0;;"Maximum daily dose";;J/cm²
4226;icecat_4226;0;y_n;"Clock with calendar";;
29728;icecat_29728;0;;"Safety P clip";;
15449;icecat_15449;0;;"Belt clips quantity";;
30161;icecat_30161;0;multi_dropdown;"Scaled resolutions";;
10966;icecat_10966;0;numerical;"Dynamic power per channel (6 Ohm)";;W
28849;icecat_28849;0;numerical;"Sleeping area height";;mm
7203;icecat_7203;0;y_n;"NVIDIA 3D Vision";;
30037;icecat_30037;0;numerical;"Sound pressure level (min)";;dB
4064;icecat_4064;0;range;"MP3 sample rates";;kHz
8353;icecat_8353;0;numerical;"Cycle time washing & drying";;min
14815;icecat_14815;0;numerical;"Number of cards";"The number of cards this product contains.";pc(s)
7303;icecat_7303;0;numerical;"Resolution touch input";;DPI
20146;icecat_20146;0;;Confirmation;;dB
3968;icecat_3968;0;y_n;"Mini chopper";;
20328;icecat_20328;0;;"Professional controls";;
16624;icecat_16624;0;;"Music library";;
10459;icecat_10459;0;y_n;"Speeding alert";"Alerts you when you’re speeding, even if you're not in navigation mode.";
26669;icecat_26669;0;numerical;"Biotin Daily Value (DV) content (per serving)";;%
9057;icecat_9057;0;y_n;"Warming rack";;
24696;icecat_24696;0;multi_dropdown;"Face cleanser 2 effect";;
10028;icecat_10028;0;dropdown;"RF connector type";;
14842;icecat_14842;0;;"Auto Clean function";;
19991;icecat_19991;0;numerical;"Number of slices";;slice(s)
28974;icecat_28974;0;dropdown;"Shoulder armor type";;
8268;icecat_8268;0;dropdown;"Output type";;
8306;icecat_8306;0;numerical;"Transmission distance";"The distance over which the device can transmit a signal.";m
12129;icecat_12129;0;;"Breast pump design";;
21392;icecat_21392;0;multi_dropdown;Meats;;
27421;icecat_27421;0;dropdown;"Recommended display resolution requirement";;pixels
27916;icecat_27916;0;dropdown;"Type of fabric finishing";;
3440;icecat_3440;0;text;"Circuit breaker rating";"Describes the circuit breaker rating";
8519;icecat_8519;0;numerical;"Battery capacity (Watt hours)";;Wh
16510;icecat_16510;0;;"Network priority";;
29271;icecat_29271;0;numerical;"Mounting hole height";;mm
12769;icecat_12769;0;;Handling;;
6061;icecat_6061;0;text;"Menus and prompts";;
24962;icecat_24962;0;numerical;"Minimum body weight";;kg
20354;icecat_20354;0;y_n;"Automatic cleaning program selection";;
30816;icecat_30816;0;y_n;"Deformation resistance";;
15250;icecat_15250;0;;"Knife rack";;
21926;icecat_21926;0;y_n;Auto-iris;;
22078;icecat_22078;0;numerical;"Auto shut-off after";;h
21502;icecat_21502;0;numerical;"Maximum gradient";;°
26780;icecat_26780;0;numerical;"Footwear size supported (max)";;
5809;icecat_5809;0;text;"CIE Lab (D50/2)";"Unlike the RGB and CMYK color models, Lab color is designed to approximate human vision. \n\n\n\nCIE 1976 (L*, a*, b*) color space. ""CIE"" stands for Commission internationale de l'éclairage (French for International Commission on Illumination).\n\nThe ""Lab"" color space is a color-opponent space with dimension L for lightness and a and b for the color-opponent dimensions, based on nonlinearly-compressed CIE XYZ color space coordinates.";
23928;icecat_23928;0;y_n;"Rotating dial";;
27021;icecat_27021;0;;;;
11393;icecat_11393;0;y_n;"Facial head included";;
19264;icecat_19264;0;;Travers;;
3203;icecat_3203;0;numerical;"DVD-R Double Layer write speed";;x
6550;icecat_6550;0;text;"Natural feeding nurser (240 ml/ 8 oz)";;pc(s)
2923;icecat_2923;0;y_n;"Network line protection";;
13916;icecat_13916;0;;"Recording battery life (MP3, 48 Kbit/s, monaural)";;
14994;icecat_14994;0;y_n;Apps;;
29231;icecat_29231;0;y_n;"Zip hem(s)";;
27840;icecat_27840;0;numerical;"Jumping surface depth";;mm
20098;icecat_20098;0;;"Suitable for eyepiece";;
29487;icecat_29487;0;numerical;"Height (without legs)";;mm
6805;icecat_6805;0;numerical;"Number of drawers";"The quantity of drawers, which are box-like storage compartments without a lid, made to slide horizontally in and out of a desk, chest, or other piece of furniture.";drawer(s)
26020;icecat_26020;0;;"Additional filter sheet";;
17542;icecat_17542;0;dropdown;"Band size";;
29445;icecat_29445;0;dropdown;"Dirt trapper mat material";;
5384;icecat_5384;0;y_n;"Tape speed selection";;
4500;icecat_4500;0;numerical;"Width top shelf";;mm
8780;icecat_8780;0;numerical;"Minimum power";;W
28085;icecat_28085;0;numerical;"Maximum door weight";;kg
20141;icecat_20141;0;;"Diffusion frequency";;Hz
11543;icecat_11543;0;y_n;"Wall dimmer compatibility";;
16492;icecat_16492;0;;"Minimum operating humidity";;%
14701;icecat_14701;0;multi_dropdown;"Baking molds colour";"The colour of the baking molds e.g. red, white. Baking molds are tins or other containers or frames for baking cakes and cookies with a particular shape.";
26529;icecat_26529;0;multi_dropdown;"AMC standards";;
13886;icecat_13886;0;;"Clear Stereo";;
27834;icecat_27834;0;dropdown;"Color camera aspect ratio";;
11698;icecat_11698;0;text;"Diaphragm material";;
22788;icecat_22788;0;2d;"Bath mat dimensions";;mm
19764;icecat_19764;0;;"Storage battery";;
28176;icecat_28176;0;numerical;"Cooking temperature (max)";;°C
9045;icecat_9045;0;multi_dropdown;"Brand specific flash systems";;
22347;icecat_22347;0;y_n;"Voice changer";;
25287;icecat_25287;0;dropdown;"Hue bridge mounting type";;
8915;icecat_8915;0;numerical;"Minimum curve radius";;mm
17512;icecat_17512;0;;"Wind noise reduction";;
25970;icecat_25970;0;y_n;"Ventilated shelves";;
30513;icecat_30513;0;y_n;"Automatic closing";;
27965;icecat_27965;0;multi_dropdown;"Inserts material";;
4480;icecat_4480;0;numerical;"Set width (inch)";;""""
28487;icecat_28487;0;numerical;"Curing time";;h
5190;icecat_5190;0;numerical;"Dust capacity wet";;L
23746;icecat_23746;0;;"Daisy Chain Serial";;
26825;icecat_26825;0;numerical;"Soup plate diameter";;mm
30592;icecat_30592;0;y_n;"Egg wrapper included";;
13698;icecat_13698;0;;SonicStage;;
19067;icecat_19067;0;numerical;"Band length";;mm
21567;icecat_21567;0;multi_dropdown;"Measuring parameters";;
13146;icecat_13146;0;;"End result";;
16805;icecat_16805;0;;"Live wallpaper";;
601;icecat_601;0;text;"Raster Image Processor Functionality";;
2741;icecat_2741;0;numerical;"Mid-range driver diameter";;mm
21767;icecat_21767;0;;"PCI Support";;
13946;icecat_13946;0;;"Step forward/reverse";;
19780;icecat_19780;0;;"Return channel";;MHz
2173;icecat_2173;0;numerical;"Continuous video playback time";;h
9216;icecat_9216;0;y_n;"Auto rotating";;
18198;icecat_18198;0;y_n;"Wi-Fi controlled";;
30174;icecat_30174;0;numerical;"Table top thickness (max)";;mm
15728;icecat_15728;0;dropdown;"Gas type";;
26259;icecat_26259;0;numerical;"Hot knife tip power";;W
3937;icecat_3937;0;y_n;"F1 Williams car";;
5493;icecat_5493;0;y_n;"Crystal box";;
8734;icecat_8734;0;numerical;"Included memory card size";;GB
22627;icecat_22627;0;numerical;"Throat depth (max)";;mm
19013;icecat_19013;0;;"Package weight 1";;g
11068;icecat_11068;0;dropdown;"Stopper material";;
5831;icecat_5831;0;y_n;Thermostat;;
21062;icecat_21062;0;y_n;Breathable;;
6380;icecat_6380;0;text;"Voice announce (talking caller ID)";;
3635;icecat_3635;0;y_n;"Web-based management";"Using a website/web application to manage something.";
14573;icecat_14573;0;;"SonicStage v2.0";;
21116;icecat_21116;0;y_n;"Intel Extreme Memory Profile (XMP)";;
25050;icecat_25050;0;numerical;"Period After Opening (PAO)";;day(s)
28976;icecat_28976;0;dropdown;"Back armor type";;
4453;icecat_4453;0;numerical;"Main speaker depth";;mm
25551;icecat_25551;0;y_n;"Stackable marker";;
31276;icecat_31276;0;numerical;"No-load power";;W
2085;icecat_2085;0;text;"Media type and capacity (tray 2)";;
13890;icecat_13890;0;;"Slideshow with music";;
11919;icecat_11919;0;;ThermaBag;;pc(s)
4576;icecat_4576;0;y_n;"Easy-to-read display";;
31350;icecat_31350;0;y_n;"Cosmetic emulsifier included";;
